Date;Produced Power[kW];Consumed Power[kW];Potenza Immessa[kW];Potenza Prelevata[kW];Produced Energy[kWh];Consumed Energy[kWh];Energia Immessa[kWh];Energia Prelevata[kWh];
2013-07-22 00:00;0.0;0.52;0.0;0.52;0.0;0.0;0.0;0.0;
2013-07-22 00:05;0.0;0.34;0.0;0.34;0.0;0.0;0.0;0.0;
2013-07-22 00:10;0.0;0.42;0.0;0.42;0.0;0.0;0.0;0.0;
2013-07-22 00:15;0.0;0.41;0.0;0.41;0.0;0.0;0.0;0.0;
2013-07-22 00:20;0.0;0.42;0.0;0.42;0.0;0.1;0.0;0.1;
2013-07-22 00:25;0.0;0.42;0.0;0.42;0.0;0.1;0.0;0.1;
2013-07-22 00:30;0.0;0.42;0.0;0.42;0.0;0.1;0.0;0.1;
2013-07-22 00:35;0.0;0.45;0.0;0.45;0.0;0.2;0.0;0.2;
2013-07-22 00:40;0.0;0.44;0.0;0.44;0.0;0.2;0.0;0.2;
2013-07-22 00:45;0.0;0.58;0.0;0.58;0.0;0.3;0.0;0.3;
2013-07-22 00:50;0.0;0.34;0.0;0.34;0.0;0.3;0.0;0.3;
2013-07-22 00:55;0.0;0.34;0.0;0.34;0.0;0.3;0.0;0.3;
2013-07-22 01:00;0.0;0.49;0.0;0.49;0.0;0.4;0.0;0.4;
2013-07-22 01:05;0.0;0.34;0.0;0.34;0.0;0.4;0.0;0.4;
2013-07-22 01:10;0.0;0.34;0.0;0.34;0.0;0.4;0.0;0.4;
2013-07-22 01:15;0.0;0.62;0.0;0.62;0.0;0.5;0.0;0.5;
2013-07-22 01:20;0.0;0.44;0.0;0.44;0.0;0.5;0.0;0.5;
2013-07-22 01:25;0.0;0.34;0.0;0.34;0.0;0.5;0.0;0.5;
2013-07-22 01:30;0.0;0.52;0.0;0.52;0.0;0.6;0.0;0.6;
2013-07-22 01:35;0.0;0.42;0.0;0.42;0.0;0.6;0.0;0.6;
2013-07-22 01:40;0.0;0.42;0.0;0.42;0.0;0.6;0.0;0.6;
2013-07-22 01:45;0.0;0.39;0.0;0.39;0.0;0.7;0.0;0.7;
2013-07-22 01:50;0.0;0.41;0.0;0.41;0.0;0.7;0.0;0.7;
2013-07-22 01:55;0.0;0.53;0.0;0.53;0.0;0.7;0.0;0.7;
2013-07-22 02:00;0.0;0.44;0.0;0.44;0.0;0.8;0.0;0.8;
2013-07-22 02:05;0.0;0.42;0.0;0.42;0.0;0.8;0.0;0.8;
2013-07-22 02:10;0.0;0.5;0.0;0.5;0.0;0.8;0.0;0.8;
2013-07-22 02:15;0.0;0.34;0.0;0.34;0.0;0.9;0.0;0.9;
2013-07-22 02:20;0.0;0.42;0.0;0.42;0.0;0.9;0.0;0.9;
2013-07-22 02:25;0.0;0.41;0.0;0.41;0.0;0.9;0.0;0.9;
2013-07-22 02:30;0.0;0.34;0.0;0.34;0.0;1.0;0.0;1.0;
2013-07-22 02:35;0.0;0.45;0.0;0.45;0.0;1.0;0.0;1.0;
2013-07-22 02:40;0.0;0.67;0.0;0.67;0.0;1.1;0.0;1.1;
2013-07-22 02:45;0.0;0.34;0.0;0.34;0.0;1.1;0.0;1.1;
2013-07-22 02:50;0.0;0.34;0.0;0.34;0.0;1.1;0.0;1.1;
2013-07-22 02:55;0.0;0.41;0.0;0.41;0.0;1.2;0.0;1.2;
2013-07-22 03:00;0.0;0.34;0.0;0.34;0.0;1.2;0.0;1.2;
2013-07-22 03:05;0.0;0.62;0.0;0.62;0.0;1.2;0.0;1.2;
2013-07-22 03:10;0.0;0.42;0.0;0.42;0.0;1.3;0.0;1.3;
2013-07-22 03:15;0.0;0.46;0.0;0.46;0.0;1.3;0.0;1.3;
2013-07-22 03:20;0.0;0.53;0.0;0.53;0.0;1.3;0.0;1.3;
